mac_address,eventtype,epocutc,zone,rssi,techtype
67faba53f5c50ba930630876129c57280ebe69eb5fb323d8a202670a,status,24-08-23 23:31,bz2453,-67,2
3cd493a0d776652b6f72918cb7084b7cef848da1bcd244f6288273f1,status,24-08-23 23:31,bz2453,-63,2
454f36c4b2e318e9acd50a8f1e84e7346e9bee04e2ca7e226652bcb3,status,24-08-23 23:31,bz2453,-73,2
76fb1f63bac1cf89996943d799df401cb64818f9721d8e3d2dd668c9,status,24-08-23 23:31,bz2453,-73,2
3c2cb9d2148258a878afc0a67bf32185c427d717132303718e02a858,status,24-08-23 23:31,bz2453,-65,2
b52a3ef683889f138e12931e00798fa2acc0f2c7e039d3d7a1a46353,status,24-08-23 23:31,bz2453,-69,2
567eefb42da6bade1f4ba9bb912b0ee4d725c2ef10bd50a0e9994e6e,status,24-08-23 23:31,bz2453,-65,2
2cec8a1ca0b00b79149fbde7b8a8374790f0fe8dbc14193b7a428833,status,24-08-23 23:31,bz2453,-61,2
3deee58e8a31e48c669907ffc811f78e2c0e2207120a71a10c848aee,status,24-08-23 23:31,bz2453,-69,2
c342be6520f1800f2699a8c910b59d847a3c797fdca40b25188fba43,status,24-08-23 23:31,bz2453,-73,2
94f767ca6246f57f3b23f47f575d550b62546f422f35b8aecb39a70e,status,24-08-23 23:32,bz2453,-61,2
aa3a7511dcffb15b062a4b2a24c52a8d696d847362d26d13d66e0a3e,status,24-08-23 23:32,bz2453,-71,2
0d2ef1099dfa450b9539d5101791fee2475a8197c29df18b18606cf9,status,24-08-23 23:32,bz2453,-63,2
a33be33a18ae8abe9ad4a621a08d88853e0971469638a2bfb915b4f6,status,24-08-23 23:32,bz2453,-61,2
0eb401ac029feaa616b0fc4f99136ca1eb609681315efb940bdb7a61,status,24-08-23 23:32,bz2453,-85,2
9838e14fae83467a229265ead269bf5d4f507a4a76f3f86a3fb204aa,status,24-08-23 23:32,bz2453,-63,2
b552acc882dc15506121ef5ee0803295695453029a7e3f6493460d02,status,24-08-23 23:32,bz2453,-63,2
402f329a8d4022456f694b81d34135cfab99b55a082eb1b48c53f435,status,24-08-23 23:32,bz2453,-81,2
152a187f7cc840a1004fd66ce53b574173f7b8b07c238238dc0af67d,status,24-08-23 23:32,bz2453,-61,2
60852b722ef900469f5c2ba94a527faee24971d2d385aba68935c372,status,24-08-23 23:32,bz2453,-61,2
24f1c55cd61427998d8860f35818b2a11e14e742f0eb4b0f6c784d13,status,24-08-23 23:32,bz2453,-57,2
67a24effa2f2220e418b92b0c73138b03d56a861a584791cb0cf616d,status,24-08-23 23:32,bz2453,-59,2
df4c7d040ec4110d0d3f240cb6ffd5bafcb203a6b879c408412c4018,status,24-08-23 23:32,bz2453,-57,2
ed74e1ad98100628e797ed03c070a17b3ee8305e635136466ad86b35,status,24-08-23 23:32,bz2453,-75,2
d58871a5119180934b1d9522aa9130546ff1772fe52d9670ddfb288f,status,24-08-23 23:32,bz2453,-63,2
d896596fbbeb58603ad4264605a1020e6c7182b4be77ab02f6d54faa,status,24-08-23 23:32,bz2453,-63,2
1ab1f34dff0521fa947c2a06504e99ed20c0d73797ec80ac4c9303cb,status,24-08-23 23:32,bz2453,-55,2
e62f8e383afb472dbfa5b1f6573b13e7de7c5bfb02574db0e79bff66,status,24-08-23 23:32,bz2453,-49,2
c3d3a1ac7ca5f30d4f587ac2b04a6c5b307627ffbef15e9887477d6b,status,24-08-23 23:32,bz2453,-59,2
8f2e22266a9475fb08363ec2bde18cb168c161f0994843f8538024ad,status,24-08-23 23:32,bz2453,-77,2
b8d901d1ed31282911e5ac91b7c78550277636d77d0ba90e6a38353a,status,24-08-23 23:32,bz2453,-77,2
6d98c0a534d4f1ee0868c41d47ad1e84ae04758ec450921654f3b64c,status,24-08-23 23:32,bz2453,-77,2
22430c480053477131ed8b9430cb7cd6ba83bddcae560a4caa18609c,status,24-08-23 23:33,bz2453,-81,2
cd7a60a3d037665541828e366e993f3c8b802d2636ff186ed3c95eca,status,24-08-23 23:33,bz2453,-83,2
d64b060e52f971d26c4aeae638c2add50c2ae8bf70ffca7e10a697ae,status,24-08-23 23:34,bz2453,-77,2
83c3c678e90d31ee01f54ab330ae72cc5144548e15430ee27ab5f2d7,status,24-08-23 23:34,bz2453,-81,2
1381dcf92e792b11a7dd2d22e0a44671a9682181e33773caa448a6b5,status,24-08-23 23:35,bz2453,-81,2
58c1e97bf0c3f7fcdacc35a9f164299a8a2f3ae0e1a5611e236270b2,status,24-08-23 23:35,bz2453,-79,2
aadcaf2f60ad58c4614bd5f0469f3ded4bfe8595011f036ba44ab6bf,status,24-08-23 23:35,bz2453,-81,2
